model,n,mae,mse,rmse,r2,bias,split,context
seasonal_naive_24h,5113,11.52428060942695,539.466870574046,23.226426125731138,0.46229214257459605,0.07833185918247591,test,other
seasonal_naive_24h,3928,9.907611518329938,555.8896912690735,23.577313062965285,-0.3087313256364861,2.7301052225050917,test,summer_all
seasonal_naive_24h,354,69.58734332485876,11231.66400489504,105.97954521932542,0.013586024203752545,-30.771027918079096,test,summer_heat_price_event
seasonal_naive_24h,15,8.966456599999995,126.69827058514173,11.256032630778117,0.26058259903223413,-7.955069799999998,test,summer_sudden_heat
seasonal_naive_24h,4409,10.733358484236788,431.708312006286,20.777591583393058,-0.03851600729052662,3.19973416262191,test,winter_all
seasonal_naive_24h,369,26.143162203252032,2291.686516457887,47.87156271167557,0.44753843635306734,-25.021247205962062,test,winter_cold_wave
seasonal_naive_24h,308,32.15277962337662,2096.4146162728875,45.786620494123476,0.6026953361091041,-16.58951644155844,test,winter_storm
seasonal_naive_24h,3648,8.813082101219846,425.5631309004177,20.62918153733729,0.09540117506800005,-0.2253521169133772,validation,other
seasonal_naive_24h,2122,5.814723544454917,176.66847476666044,13.291669374712134,0.23247158181668803,0.3649219175306314,validation,summer_all
seasonal_naive_24h,15,88.01623199999999,12815.589454895493,113.20596033290603,-2.0533839567240975,-77.51657053333331,validation,summer_heat_price_event
seasonal_naive_24h,2660,6.148482316353383,157.86206444569862,12.564317110201358,-0.3001674392788889,1.454944470112782,validation,winter_all
seasonal_naive_24h,223,13.998563228699552,872.3612077573125,29.535761506304734,0.06035201917068733,-10.903374331838565,validation,winter_cold_wave
seasonal_naive_24h,20,46.5464988,4404.314539082782,66.36500990041952,-0.9260371195120147,-46.5464988,validation,winter_storm
seasonal_naive_168h,5113,17.55176627576765,1326.8936747417754,36.42655178220655,-0.3225671376585304,0.3062418165460589,test,other
seasonal_naive_168h,3928,19.087128385692463,1928.9867135768952,43.92023125595874,-3.5414142022156776,7.986345440682283,test,summer_all
seasonal_naive_168h,354,115.69778524858758,25379.66800662771,159.30997459866634,-1.2289537161987436,-88.11100149717514,test,summer_heat_price_event
seasonal_naive_168h,15,7.443361400000001,78.86013120675781,8.880322697219837,0.5397683568404121,-6.494396333333335,test,summer_sudden_heat
seasonal_naive_168h,4409,20.81828303402132,1778.5818320569713,42.17323596852595,-3.2785502421375226,7.818464876616011,test,winter_all
seasonal_naive_168h,369,35.649006157181574,4688.588642499009,68.47326954731321,-0.13028766985803042,-28.38528120325203,test,winter_cold_wave
seasonal_naive_168h,308,88.58069868181818,11449.990891057432,107.00463023186161,-1.1699594856923277,-87.1083730909091,test,winter_storm
seasonal_naive_168h,3648,12.041163118558112,631.3097451736854,25.125877998065768,-0.3419443842419472,-0.3215529239309208,validation,other
seasonal_naive_168h,2122,7.547839164231857,342.7300647986947,18.512970177653685,-0.4889756921615078,0.42922854335532484,validation,summer_all
seasonal_naive_168h,15,173.7940422,33866.213462476604,184.02775188127634,-7.068809727813097,-173.7940422,validation,summer_heat_price_event
seasonal_naive_168h,2660,14.805121687781954,2201.918444157046,46.92460382525404,-17.13521617807924,9.364031868609022,validation,winter_all
seasonal_naive_168h,223,22.5007058206278,2163.176714760131,46.509963607383426,-1.3300263860045587,-0.44199585650224177,validation,winter_cold_wave
seasonal_naive_168h,20,52.81703160000001,5279.047431852242,72.65705355884067,-1.3085638455625483,-52.81703160000001,validation,winter_storm
dmdc,5113,17.09710613067452,1074.6852326174264,32.78239211249579,-0.07118105922339768,-12.626316270359,test,other
dmdc,3928,14.308599299239113,467.3198666621483,21.617582350072087,-0.1002113516384342,-11.865761794174126,test,summer_all
dmdc,354,138.9040899089744,30418.57244314799,174.40920974291464,-1.6714923958386505,-138.9040899089744,test,summer_heat_price_event
dmdc,15,49.6660220431287,2690.9397092425697,51.87426827669543,-14.704457817614736,-49.6660220431287,test,summer_sudden_heat
dmdc,4409,12.378692250033241,382.6944025280006,19.56257658203542,0.07939168213183279,-4.588355680826718,test,winter_all
dmdc,369,25.706203950742605,2506.703097374763,50.066986102368524,0.39570394867324366,-19.285394532973683,test,winter_cold_wave
dmdc,308,52.773059225037585,4669.744344830569,68.33552769116932,0.11500750234331591,-50.45000219457908,test,winter_storm
dmdc,3648,11.113245921921948,438.00356404426515,20.928534684594265,0.0689571521100929,-6.467029650601896,validation,other
dmdc,2122,7.354333858768947,126.22163449375473,11.234840207753502,0.4516356605701224,-4.345185511455551,validation,summer_all
dmdc,15,178.76689924109553,36045.65396202717,189.85693024492724,-7.588073291879628,-178.76689924109553,validation,summer_heat_price_event
dmdc,2660,8.232678981665769,139.7239943385176,11.820490444077082,-0.15078051565338124,0.4331997846905395,validation,winter_all
dmdc,223,12.056635396748666,602.9884973005134,24.55582410143291,0.3505019263656278,-4.5209047817441546,validation,winter_cold_wave
dmdc,20,47.78989629927001,4549.035471683335,67.44653787766526,-0.9893245813146656,-47.78989629927001,validation,winter_storm
dmdc_residual_24h,5113,11.019799267207123,521.9918450014904,22.847140849600645,0.47971018818891564,0.22704648617748951,test,other
dmdc_residual_24h,3928,9.468104400757905,553.2405352429749,23.521065776086232,-0.30249441652968345,2.5192693184449864,test,summer_all
dmdc_residual_24h,354,67.67727027101186,10846.469530298993,104.146385104328,0.04741549176754678,-28.485850117005228,test,summer_heat_price_event
dmdc_residual_24h,15,12.903938531415031,238.39544732951092,15.440059822730964,-0.3912876730900463,-11.605631086135649,test,summer_sudden_heat
dmdc_residual_24h,4409,10.659452168154058,413.1385892971973,20.3258109136437,0.0061552527894834785,1.7987369689863446,test,winter_all
dmdc_residual_24h,369,19.888019097448428,1472.1392702186463,38.368467134075686,0.6451083700627109,-16.15313277904335,test,winter_cold_wave
dmdc_residual_24h,308,29.6018993964692,1871.5601749067318,43.2615322764547,0.6453089095682423,-10.444850168790351,test,winter_storm
dmdc_residual_24h,3648,8.544429870130903,413.0852239026454,20.324498121790004,0.12192485437243883,-0.0850403910060693,validation,other
dmdc_residual_24h,2122,5.893247687707365,171.29320603621866,13.087903041978064,0.255824200394707,0.41101369713840774,validation,summer_all
dmdc_residual_24h,15,86.41232494398452,12278.477416339289,110.80829127975618,-1.9254140894571323,-73.46483506839914,validation,summer_heat_price_event
dmdc_residual_24h,2660,6.344705251793253,146.0787828739256,12.086305592443276,-0.20311917704268767,0.6176936258103748,validation,winter_all
dmdc_residual_24h,223,10.739890199640984,582.5760218897561,24.13661164889878,0.3724888523463874,-3.7084670376885445,validation,winter_cold_wave
dmdc_residual_24h,20,45.2369740444616,4587.848075165825,67.73365540974314,-1.0062976004641437,-45.10758110460348,validation,winter_storm
